CPI for All Urban Consumers (CPI-U),,,,,,,,,,,,
,,,,,,,,,,,,
Series Title,"All items in U.S. city average, all urban consumers, seasonally adjusted",,,,,,,,,,,
2017,M01,2017 Jan,243.618,,,,,,,,,
2017,M02,2017 Feb,244.006,,,,,,,,,
2017,M03,2017 Mar,243.892,,,,,,,,,
2017,M04,2017 Apr,244.193,,,,,,,,,
2017,M05,2017 May,244.004,,,,,,,,,
2017,M06,2017 Jun,244.163,,,,,,,,,
2017,M07,2017 Jul,244.243,,,,,,,,,
2017,M08,2017 Aug,245.183,,,,,,,,,
2017,M09,2017 Sep,246.435,,,,,,,,,
2017,M10,2017 Oct,246.626,,,,,,,,,
2017,M11,2017 Nov,247.284,,,,,,,,,
2017,M12,2017 Dec,247.805,,,,,,,,,
2018,M01,2018 Jan,248.859,,,,,,,,,
2018,M02,2018 Feb,249.529,,,,,,,,,
2018,M03,2018 Mar,249.577,,,,,,,,,
2018,M04,2018 Apr,250.227,,,,,,,,,
2018,M05,2018 May,250.792,,,,,,,,,
2018,M06,2018 Jun,251.018,,,,,,,,,
2018,M07,2018 Jul,251.214,,,,,,,,,
2018,M08,2018 Aug,251.663,,,,,,,,,
2018,M09,2018 Sep,252.182,,,,,,,,,
2018,M10,2018 Oct,252.772,,,,,,,,,
2018,M11,2018 Nov,252.594,,,,,,,,,
2018,M12,2018 Dec,252.767,,,,,,,,,
2019,M01,2019 Jan,252.718,,,,,,,,,
2019,M02,2019 Feb,253.322,,,,,,,,,
2019,M03,2019 Mar,254.202,,,,,,,,,
2019,M04,2019 Apr,255.211,,,,,,,,,
2019,M05,2019 May,255.290,,,,,,,,,
2019,M06,2019 Jun,255.159,,,,,,,,,
2019,M07,2019 Jul,255.685,,,,,,,,,
2019,M08,2019 Aug,256.059,,,,,,,,,
2019,M09,2019 Sep,256.511,,,,,,,,,
2019,M10,2019 Oct,257.244,,,,,,,,,
2019,M11,2019 Nov,257.803,,,,,,,,,
2019,M12,2019 Dec,258.616,,,,,,,,,
2020,M01,2020 Jan,259.037,,,,,,,,,
2020,M02,2020 Feb,259.248,,,,,,,,,
2020,M03,2020 Mar,258.124,,,,,,,,,
2020,M04,2020 Apr,256.092,,,,,,,,,
2020,M05,2020 May,255.868,,,,,,,,,
2020,M06,2020 Jun,256.986,,,,,,,,,
2020,M07,2020 Jul,258.278,,,,,,,,,
2020,M08,2020 Aug,259.411,,,,,,,,,
2020,M09,2020 Sep,260.029,,,,,,,,,
2020,M10,2020 Oct,260.286,,,,,,,,,
2020,M11,2020 Nov,260.813,,,,,,,,,
2020,M12,2020 Dec,262.035,,,,,,,,,
2021,M01,2021 Jan,262.650,,,,,,,,,
2021,M02,2021 Feb,263.638,,,,,,,,,
2021,M03,2021 Mar,264.914,,,,,,,,,
2021,M04,2021 Apr,266.670,,,,,,,,,
2021,M05,2021 May,268.444,,,,,,,,,
2021,M06,2021 Jun,270.559,,,,,,,,,
2021,M07,2021 Jul,271.764,,,,,,,,,
2021,M08,2021 Aug,272.870,,,,,,,,,
2021,M09,2021 Sep,274.028,,,,,,,,,
2021,M10,2021 Oct,276.522,,,,,,,,,
2021,M11,2021 Nov,278.711,,,,,,,,,
2021,M12,2021 Dec,280.887,,,,,,,,,
2022,M01,2022 Jan,282.599,,,,,,,,,
2022,M02,2022 Feb,284.610,,,,,,,,,
2022,M03,2022 Mar,287.472,,,,,,,,,
2022,M04,2022 Apr,288.611,,,,,,,,,
2022,M05,2022 May,291.268,,,,,,,,,
2022,M06,2022 Jun,294.728,,,,,,,,,
2022,M07,2022 Jul,294.628,,,,,,,,,
2022,M08,2022 Aug,295.320,,,,,,,,,
2022,M09,2022 Sep,296.539,,,,,,,,,
2022,M10,2022 Oct,297.987,,,,,,,,,
2022,M11,2022 Nov,298.598,,,,,,,,,
2022,M12,2022 Dec,298.990,,,,,,,,,
2023,M01,2023 Jan,300.536,,,,,,,,,
2023,M02,2023 Feb,301.648,,,,,,,,,
